BLOCKID|COUNTYFP|DISTRICT
240010012002014|001|06-005
240010012002015|001|06-005
240010012002016|001|06-001
240010012002017|001|06-001
240010012002018|001|06-001
240010012002019|001|06-001
240010012002020|001|06-001
240010012002021|001|06-001
240010012002022|001|06-001
240010012002023|001|06-001
240010012002024|001|06-001
240010012002025|001|06-001
240010012002026|001|06-001
240010012002027|001|06-001
240010012002028|001|06-001
240010012002029|001|06-099
240010012002030|001|06-005
240010012002031|001|06-005
240010012002032|001|06-005
240010012002033|001|06-005
240010012002034|001|06-005
240010012002035|001|06-005
240010012002036|001|06-005
240010012002037|001|06-005
240010012002038|001|06-005
240010012002039|001|06-005
240010012002040|001|06-006
240010012002041|001|06-006
240010012002042|001|06-006
240010012002043|001|06-005
240010012002044|001|06-005
240010012002045|001|06-001
240010012002046|001|06-005
240010012002047|001|06-005
240010012002048|001|06-001
240010012002049|001|06-001
240010012002050|001|06-001
240010013001000|001|06-005
240010013001001|001|06-005
240010013001002|001|06-005
240010013001003|001|06-005
240010013001004|001|06-005
240010013001005|001|06-006
240010013001006|001|06-006
240010013001007|001|06-006
240010013001008|001|06-006
240010013001009|001|06-006
240010013001010|001|06-006
240010013001011|001|06-006
240010013001012|001|06-006
240010013001013|001|06-006
240010013001014|001|06-006
240010013001015|001|07-001
240010013001016|001|07-001
240010013001017|001|06-006
240010013001018|001|06-006
240010013001019|001|06-006
240010013001020|001|06-006
240010013001021|001|06-006
240010013001022|001|06-006
240010013001023|001|06-006
240010013001024|001|06-006
240010013001025|001|06-006
240010013001026|001|06-006
240010013001027|001|06-006
240010013001028|001|06-006
240010013001029|001|06-006
240010013001030|001|06-006
240010013001031|001|06-006
240010013001032|001|06-006
240010013001033|001|06-006
240010013001034|001|06-006
240010013001035|001|06-006
240010013001036|001|06-006
240010013001037|001|06-006
240010013001038|001|06-006
240010013001039|001|06-006
240010013001040|001|06-006
240010013001041|001|06-006
240010013001042|001|06-006
240010013002000|001|06-006
240010013002001|001|06-006
240010013002002|001|06-006
240010013002003|001|06-006
240010013002004|001|06-006
240010013002005|001|06-006
240010013002006|001|06-006
240010013002007|001|06-006
240010013002008|001|07-001
240010013002009|001|07-001
240010013002010|001|07-001
240010013002011|001|07-001
240010013002012|001|07-001
240010013002013|001|06-006
240010013002014|001|06-006
240010013002015|001|06-006
240010013002016|001|06-006
240010013002017|001|06-006
240010013002018|001|06-006
240010013002019|001|06-006
240010013002020|001|06-006
240010013002021|001|06-006
240010013002022|001|06-006
240010013002023|001|06-006
240010013002024|001|06-006
