BLOCKID|DISTRICT
240010015031011|01B
240010015031012|01B
240010015031013|01B
240010015031014|01B
240010015031015|01B
240010015031016|01B
240010015032000|01B
240010015032001|01B
240010015032002|01B
240010015032003|01B
240010015032004|01B
240010015032005|01B
240010015032006|01B
240010015032007|01B
240010015032008|01B
240010015032009|01B
240010015032010|01B
240010015032011|01B
240010015032012|01B
240010015032013|01B
240010015032014|01B
240010015032015|01B
240010015032016|01B
240010015032017|01B
240010015032018|01B
240010015033000|01B
240010015033001|01B
240010015033002|01B
240010015033003|01B
240010015033004|01B
240010015033005|01B
240010015033006|01B
240010015033007|01B
240010015033008|01B
240010015033009|01B
240010015033010|01B
240010015033011|01B
240010015033012|01B
240010015033013|01B
240010015033014|01B
240010015033015|01B
240010015033016|01B
240010015033017|01B
240010015033018|01B
240010015033019|01B
240010015033020|01B
240010016001000|01B
240010016001001|01B
240010016001002|01B
240010016001003|01B
240010016001004|01B
240010016001005|01B
240010016001006|01B
240010016001007|01B
240010016001008|01B
240010016001009|01B
240010016001010|01B
240010016001011|01B
240010016001012|01B
240010016001013|01B
240010016001014|01B
240010016001015|01B
240010016001016|01B
240010016001017|01B
240010016001018|01B
240010016001019|01B
240010016001020|01B
240010016001021|01B
240010016001022|01B
240010016001023|01B
240010016001024|01B
240010016001025|01B
240010016001026|01B
240010016001027|01B
240010016001028|01B
240010016001029|01B
240010016001030|01B
240010016001031|01B
240010016001032|01B
240010016001033|01B
240010016001034|01B
240010016001035|01B
240010016001036|01B
240010016001037|01B
240010016001038|01B
240010016001039|01B
240010016001040|01B
240010016001041|01B
240010016001042|01B
240010016001043|01B
240010016001044|01B
240010016001045|01B
240010016001046|01B
240010016001047|01B
240010016001048|01B
240010016001049|01B
240010016001050|01B
240010016001051|01B
240010016001052|01B
240010016001053|01B
240010016001054|01B
240010016001055|01B
240010016001056|01B
240010016001057|01B
240010016001058|01B
240010017001000|01B
240010017001001|01B
240010017001002|01B
240010017001003|01B
240010017001004|01B
240010017001005|01B
240010017001006|01B
240010017001007|01B
240010017001008|01B
240010017001009|01B
240010017001010|01B
240010017001011|01B
240010017001012|01B
240010017001013|01B
240010017001014|01B
240010017001015|01B
240010017001016|01B
240010017001017|01B
240010017001018|01B
240010017001019|01B
240010017001020|01B
240010017001021|01B
240010017001022|01B
240010017001023|01B
240010017001024|01B
240010017001025|01B
240010017001026|01B
240010017001027|01B
240010017001028|01B
240010017001029|01B
240010017001030|01B
240010017001031|01B
240010017001032|01B
240010017001033|01B
240010017001034|01B
240010017001035|01B
240010017001036|01B
240010017001037|01B
240010017001038|01B
240010017001039|01B
240010017001040|01B
240010017001041|01B
240010017001042|01B
240010017002000|01B
240010017002001|01B
240010017002002|01B
240010017002003|01B
240010017002004|01B
240010017002005|01B
240010017002006|01B
240010017002007|01B
240010017002008|01B
240010017002009|01B
240010017002010|01B
240010017002011|01B
240010017002012|01B
240010017002013|01B
240010017002014|01B
240010017002015|01B
240010017002016|01B
240010017002017|01B
240010017002018|01B
240010017002019|01B
240010017002020|01B
240010017002021|01B
240010017002022|01B
240010017002023|01B
240010017002024|01B
240010017002025|01B
240010017002026|01B
240010017002027|01B
240010017002028|01B
240010017002029|01B
240010017002030|01B
240010017002031|01B
240010017002032|01B
240010017002033|01B
240010017002034|01B
